method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,trust_gate_rejection_rate
oa_hb_tpm_map,10,clustered,98,490,0.7526734086456824,9.877291999204127,0.6044488392911841,0.03810619091310971,0.6040816326530613
oa_hb_tpm_no_phase_alignment,10,clustered,98,490,0.7526721259152407,9.877242126343504,0.6044663443982512,0.03810696616312675,0.6040816326530613
source_mean,10,clustered,98,490,0.7547049160629645,9.780012870424605,0.5904207223142702,0.03741245964656066,0.4346938775510204
target_only,10,clustered,98,490,0.751357837950536,9.906685636731394,0.6084788100622884,0.03787195792003549,0.0020408163265306124
hb_tpm_latent_mse,10,random,98,490,0.755518380645409,9.217055713938972,0.5448501437895169,0.036218715453406325,0.11632653061224489
oa_hb_tpm_isotropic_prior,10,random,98,490,0.7471494259823303,9.886565983383395,0.6023803050034104,0.03778699203869513,0.5163265306122449
oa_hb_tpm_map,10,random,98,490,0.7471420621528693,9.885685643991298,0.6025311474654094,0.037791750141020285,0.5102040816326531
oa_hb_tpm_no_phase_alignment,10,random,98,490,0.747142887287268,9.885168420685812,0.6025211118712718,0.03779134853952084,0.5081632653061224
source_mean,10,random,98,490,0.7495202747087772,9.749667828089677,0.5904207054710466,0.036959659291089145,0.39591836734693875
target_only,10,random,98,490,0.7462727269813251,9.918839334027318,0.6092071459854873,0.03765315051019491,0.01020408163265306
hb_tpm_latent_mse,10,uniform,98,98,0.7541577075962426,9.248644048340571,0.5434535829840756,0.036265709789051644,0.16326530612244897
oa_hb_tpm_isotropic_prior,10,uniform,98,98,0.7462222914605349,9.905149840890463,0.6023236878540298,0.03774649877937468,0.10204081632653061
oa_hb_tpm_map,10,uniform,98,98,0.7462180468134634,9.903726620786552,0.6024932173507513,0.03775211440741403,0.10204081632653061
oa_hb_tpm_no_phase_alignment,10,uniform,98,98,0.7462167964570906,9.903030998537828,0.6024822450245839,0.037751704730017405,0.10204081632653061
source_mean,10,uniform,98,98,0.7484152204503464,9.763256343163158,0.5904207335228411,0.036924723269683934,0.07142857142857142
target_only,10,uniform,98,98,0.7453767873601608,9.935109661027575,0.6092045612947822,0.03761193978277087,0.07142857142857142
