contrast,candidate_method,reference_method,scope,level,metric,n_paired_patients,candidate_mean,reference_mean,mean_paired_difference,relative_change_percent,bootstrap_95_lower,bootstrap_95_upper,interval_interpretation,difference_definition,bootstrap_unit
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_clustered,mean_hidden_hd95_px,98,9.877291999204129,9.906685636731396,-0.02939363752726751,-0.2967050596446061,-0.0893288934029994,0.029285983209124726,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_clustered,area_curve_relative_rmse,98,0.6044488392911841,0.6084788100622887,-0.004029970771104373,-0.6623025657527555,-0.0065288542627331084,-0.0014529995203611844,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_clustered,hidden_brier,98,0.038106190913109704,0.03787195792003548,0.0002342329930742198,0.6184866216021618,2.1510215580697122e-05,0.0004584814714533972,harmful,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_random,mean_hidden_dice,98,0.747142062152869,0.7462727269813252,0.0008693351715440691,0.1164902776308779,-0.00042163648219313793,0.002191509916142723,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_random,mean_hidden_hd95_px,98,9.885685643991298,9.918839334027318,-0.03315369003602045,-0.3342496931297621,-0.09927377208856707,0.033153551995121565,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_random,area_curve_relative_rmse,98,0.6025311474654093,0.6092071459854873,-0.006675998520077942,-1.095850330067694,-0.009840057867473738,-0.0032544702518292586,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_random,hidden_brier,98,0.037791750141020285,0.03765315051019492,0.00013859963082537302,0.36809570765624505,-5.2963015290774094e-05,0.00034567049082026596,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_uniform,mean_hidden_dice,98,0.7462180468134633,0.7453767873601608,0.0008412594533025968,0.11286365064868947,-0.00046210459434598624,0.0021070954033555376,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_uniform,mean_hidden_hd95_px,98,9.903726620786552,9.935109661027575,-0.031383040241022446,-0.3158801594725079,-0.10004796276210641,0.03931960996657764,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_uniform,area_curve_relative_rmse,98,0.6024932173507513,0.609204561294782,-0.006711343944030748,-1.1016568769227029,-0.009978936992031343,-0.0033748092605622375,beneficial,candidate_minus_reference,patient_stratified_within_fold
