method_id,fold,k,best_epoch,best_validation_patient_mean_dice,n_history_epochs,final_validation_mean_full_cycle_dice,minimum_validation_total,final_validation_total
oa_hb_tpm_isotropic_prior,0,2,10,0.7570030432561026,23,0.7457544962548635,0.0485116001218557,0.0649577460251748
oa_hb_tpm_isotropic_prior,0,3,10,0.7544936085514721,23,0.7447291584513939,0.0545140354894101,0.0697777678491547
oa_hb_tpm_isotropic_prior,0,5,10,0.7545663308571996,23,0.744990496100198,0.0626551075838506,0.0749771535396575
oa_hb_tpm_isotropic_prior,0,7,10,0.7541483674582709,23,0.7468985663550108,0.071837058244273,0.0804244255647063
oa_hb_tpm_isotropic_prior,1,10,24,0.7679108094130693,37,0.7662666427182891,0.0553539596963673,0.0553539596963673
oa_hb_tpm_isotropic_prior,1,2,24,0.7716519571018872,37,0.7700408768890831,0.0284259095788002,0.0288243632763624
oa_hb_tpm_isotropic_prior,1,3,21,0.7691714182401388,34,0.7638340786524271,0.0354661002755165,0.0423455471172928
oa_hb_tpm_isotropic_prior,1,5,24,0.768893479678237,37,0.7676926740513816,0.0433015465736389,0.0438298162072896
oa_hb_tpm_isotropic_prior,1,7,24,0.7682472635332875,37,0.7662840329422552,0.0532000680221244,0.0532000680221244
oa_hb_tpm_isotropic_prior,2,10,33,0.7585337931105869,46,0.755884141070152,0.065408163703978,0.0689544169232249
oa_hb_tpm_isotropic_prior,2,2,38,0.7638266476934258,51,0.761424591035348,0.0363606077618896,0.0394710951950401
oa_hb_tpm_isotropic_prior,2,3,38,0.7616108269866207,51,0.760145165783998,0.0443172502331435,0.0450188968330621
oa_hb_tpm_isotropic_prior,2,5,22,0.7597302007135857,35,0.7579261793347529,0.0546353217214345,0.0597973613068461
oa_hb_tpm_isotropic_prior,2,7,33,0.75845320830487,46,0.7557062782704344,0.0634277638047933,0.0673593591898679
oa_hb_tpm_isotropic_prior,3,10,5,0.7280059814840103,18,0.7192950580932315,0.1810105174779891,0.1810105174779891
oa_hb_tpm_isotropic_prior,3,2,5,0.7279831569376501,18,0.7200930789991297,0.1554181717336177,0.1554181717336177
oa_hb_tpm_isotropic_prior,3,3,5,0.7280602208174428,18,0.7196826880326745,0.1621608473360538,0.1621608473360538
oa_hb_tpm_isotropic_prior,3,5,5,0.727828506855181,18,0.7193282005105148,0.1716356337070465,0.1716356337070465
oa_hb_tpm_isotropic_prior,3,7,5,0.7278949060416048,18,0.7192950580932315,0.1790439039468765,0.1790439039468765
oa_hb_tpm_isotropic_prior,4,10,4,0.7432037260588444,17,0.730240474414851,0.1824847400188446,0.1824847400188446
oa_hb_tpm_isotropic_prior,4,2,4,0.7438387311425313,17,0.7255081796615117,0.1672729358077049,0.1672729358077049
oa_hb_tpm_isotropic_prior,4,3,4,0.743508743967715,17,0.7271074600040023,0.1702390268445014,0.1702390268445014
oa_hb_tpm_isotropic_prior,4,5,4,0.7430846139684306,17,0.7286110645986048,0.1759989470243454,0.1759989470243454
oa_hb_tpm_isotropic_prior,4,7,4,0.7431175029178352,17,0.7305032984250756,0.1807368025183677,0.1807368025183677
oa_hb_tpm_map,0,10,10,0.7541105948932445,23,0.74642173763656,0.0735768535174429,0.082849264703691
