method_id,k,strategy,n_patient_observations,n_patients,rejection_rate,trust_score_mean,trust_score_median,threshold_mean,trust_score_q05,trust_score_q25,trust_score_q75,trust_score_q95
oa_hb_tpm_map,7,random,490,98,0.9408163265306122,8.519066287050206e-05,7.311368608498015e-05,2.8727163295134604e-05,3.4048591601276723e-06,3.4631126254680566e-05,0.0001202222974825,0.00022191359093989466
oa_hb_tpm_map,7,uniform,98,98,0.030612244897959183,2.8431232695483026e-05,1.6184765627258457e-05,2.87271632951346e-05,6.895337975265647e-07,1.251796106771508e-06,5.263483035378158e-05,7.522086743847468e-05
oa_hb_tpm_map,10,clustered,490,98,0.6040816326530613,9.958515213521189e-05,9.334514834336005e-05,0.0001359238810177135,5.040884079789976e-05,7.797874604875688e-05,0.000110218952613625,0.00016854826681075995
oa_hb_tpm_map,10,random,490,98,0.5102040816326531,7.41145335194466e-05,6.17313853581436e-05,0.0001359238810177135,1.8248373544338398e-05,4.115776755497791e-05,9.394885455549228e-05,0.0001578956711455097
oa_hb_tpm_map,10,uniform,98,98,0.10204081632653061,8.037810165455106e-05,4.7170200559776276e-05,0.00013592388101771351,1.3114735429553546e-05,3.215908509446308e-05,9.984368443832278e-05,0.00022059106850057995
oa_hb_tpm_no_phase_alignment,2,clustered,490,98,0.9836734693877551,1.3121464534453146e-05,1.8975723833136726e-05,6.8849811099175435e-06,4.25809201942684e-07,7.680427103196052e-07,2.1824742361786775e-05,2.7023722759622603e-05
oa_hb_tpm_no_phase_alignment,2,random,490,98,0.8530612244897959,1.416552100762049e-05,1.416975192114478e-05,6.8849811099175435e-06,3.450047714181892e-07,7.137680171354077e-07,2.425798584226868e-05,3.707229552674107e-05
oa_hb_tpm_no_phase_alignment,2,uniform,98,98,0.07142857142857142,6.519410344689815e-06,5.707414402422728e-06,6.8849811099175435e-06,3.3826901386646573e-07,4.617784554739046e-07,1.1206616363779176e-05,1.5695926231273914e-05
oa_hb_tpm_no_phase_alignment,3,clustered,490,98,0.863265306122449,2.1925568981199535e-05,2.161328939109808e-05,1.7633374645532857e-05,9.312876812828108e-07,1.3101898730383252e-06,3.205527627869742e-05,6.282116373768076e-05
oa_hb_tpm_no_phase_alignment,3,random,490,98,0.4897959183673469,1.9918831754364207e-05,1.5430320672749076e-05,1.7633374645532857e-05,7.252432396853692e-07,1.1391133512006493e-06,3.054507033084519e-05,6.453080677601972e-05
oa_hb_tpm_no_phase_alignment,3,uniform,98,98,0.04081632653061224,1.7212474427206146e-05,1.469022117817076e-05,1.7633374645532857e-05,8.879642422243706e-07,1.1195515696726943e-06,2.3217848138301633e-05,4.8284524200425946e-05
oa_hb_tpm_no_phase_alignment,5,clustered,490,98,0.9448979591836735,7.411911409112575e-05,9.189927004626952e-05,4.197523618821602e-05,1.4070314728087397e-05,2.458919152559247e-05,0.00011296435513935,0.00012758606535492498
oa_hb_tpm_no_phase_alignment,5,random,490,98,0.5346938775510204,4.869937175911536e-05,3.7622730815201066e-05,4.197523618821602e-05,1.0412305528006983e-06,3.002700680099225e-06,7.736150837445166e-05,0.00013946764884160972
oa_hb_tpm_no_phase_alignment,5,uniform,98,98,0.04081632653061224,4.1493385282936405e-05,2.3571623387397267e-05,4.197523618821602e-05,1.115238109150596e-06,1.5454791650881816e-06,7.74828531575622e-05,0.00010966100962829501
oa_hb_tpm_no_phase_alignment,7,clustered,490,98,1.0,8.897761524295173e-05,9.680632138042712e-05,2.8776571918003858e-05,4.411970076034777e-05,6.994846626184881e-05,0.00010527848644407501,0.00011423919750083498
oa_hb_tpm_no_phase_alignment,7,random,490,98,0.9428571428571428,8.529688844094938e-05,7.322125020436943e-05,2.8776571918003858e-05,3.433470510572079e-06,3.538989221851807e-05,0.000120589305879475,0.00022066049205017962
