method_id,k,metric,mean,bootstrap_95_lower,bootstrap_95_upper
target_only,2,area_curve_relative_rmse,0.6036347361240477,0.5290588891265298,0.6790546723238797
target_only,3,mean_hidden_dice,0.7464292861350984,0.7262971917452644,0.7653689457163073
target_only,3,mean_hidden_hd95_px,9.931424548479024,9.105318458056225,10.813423954757006
target_only,3,area_curve_relative_rmse,0.6071013711973737,0.5345997658149768,0.6845173401659
target_only,5,mean_hidden_dice,0.7471210557512282,0.7277583252478491,0.7658035618412431
target_only,5,mean_hidden_hd95_px,9.926055982332192,9.085147422843484,10.802641204258862
target_only,5,area_curve_relative_rmse,0.6066965465239009,0.5344811632121029,0.6821214347544823
target_only,7,mean_hidden_dice,0.746669596637812,0.7266902586051348,0.7658378959562367
target_only,7,mean_hidden_hd95_px,9.911850616544653,9.061300826795563,10.816508731032563
target_only,7,area_curve_relative_rmse,0.6081315951750923,0.5339541121563931,0.6820020365596564
target_only,10,mean_hidden_dice,0.747669117430674,0.727969518586982,0.7660551542791765
target_only,10,mean_hidden_hd95_px,9.920211543928763,9.093442874333084,10.821998091870062
target_only,10,area_curve_relative_rmse,0.6089635057808526,0.5315868628089083,0.6850030341420272
