k,strategy,metric,method_id,mean,rank
7,random,mean_hidden_hd95_px,oa_hb_tpm_map,9.924165124524645,4
7,random,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.924708075211692,5
7,random,mean_hidden_hd95_px,target_only,9.938781672898122,6
7,random,area_curve_relative_rmse,hb_tpm_latent_mse,0.5455808860750857,1
7,random,area_curve_relative_rmse,source_mean,0.5905146747014723,2
7,random,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6031566445579638,3
7,random,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6031620686578402,4
7,random,area_curve_relative_rmse,oa_hb_tpm_map,0.6031847729900743,5
7,random,area_curve_relative_rmse,target_only,0.607548833928124,6
7,uniform,mean_hidden_dice,hb_tpm_latent_mse,0.7530929900819757,1
7,uniform,mean_hidden_dice,source_mean,0.7482987615106861,2
7,uniform,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7463035870694995,3
7,uniform,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7462921254308016,4
7,uniform,mean_hidden_dice,oa_hb_tpm_map,0.7462912412030284,5
7,uniform,mean_hidden_dice,target_only,0.7453269326051501,6
7,uniform,mean_hidden_hd95_px,hb_tpm_latent_mse,9.213684253645436,1
7,uniform,mean_hidden_hd95_px,source_mean,9.762601334728089,2
7,uniform,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.906442477407378,3
7,uniform,mean_hidden_hd95_px,oa_hb_tpm_map,9.906493670988421,4
7,uniform,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.906494794357274,5
7,uniform,mean_hidden_hd95_px,target_only,9.92045375966589,6
7,uniform,area_curve_relative_rmse,hb_tpm_latent_mse,0.5421591453665859,1
7,uniform,area_curve_relative_rmse,source_mean,0.5905146955648489,2
7,uniform,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6030415314002876,3
7,uniform,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.60313103776479,4
7,uniform,area_curve_relative_rmse,oa_hb_tpm_map,0.6031590892441143,5
7,uniform,area_curve_relative_rmse,target_only,0.6075011905735994,6
10,clustered,mean_hidden_dice,hb_tpm_latent_mse,0.7592732446840198,1
10,clustered,mean_hidden_dice,source_mean,0.7547049160629645,2
10,clustered,mean_hidden_dice,oa_hb_tpm_map,0.7526734086456826,3
10,clustered,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7526721259152407,4
10,clustered,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7526580296896612,5
10,clustered,mean_hidden_dice,target_only,0.751357837950536,6
10,clustered,mean_hidden_hd95_px,hb_tpm_latent_mse,9.372345819218195,1
10,clustered,mean_hidden_hd95_px,source_mean,9.780012870424606,2
10,clustered,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.877242126343504,3
10,clustered,mean_hidden_hd95_px,oa_hb_tpm_map,9.877291999204127,4
10,clustered,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.879152075121937,5
10,clustered,mean_hidden_hd95_px,target_only,9.906685636731394,6
10,clustered,area_curve_relative_rmse,hb_tpm_latent_mse,0.5600405790010129,1
10,clustered,area_curve_relative_rmse,source_mean,0.5904207223142701,2
10,clustered,area_curve_relative_rmse,oa_hb_tpm_map,0.6044488392911841,3
10,clustered,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6044663443982512,4
10,clustered,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6046028393350982,5
10,clustered,area_curve_relative_rmse,target_only,0.6084788100622884,6
10,random,mean_hidden_dice,hb_tpm_latent_mse,0.755518380645409,1
10,random,mean_hidden_dice,source_mean,0.7495202747087774,2
10,random,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7471494259823303,3
10,random,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.747142887287268,4
10,random,mean_hidden_dice,oa_hb_tpm_map,0.7471420621528693,5
10,random,mean_hidden_dice,target_only,0.7462727269813252,6
10,random,mean_hidden_hd95_px,hb_tpm_latent_mse,9.217055713938972,1
10,random,mean_hidden_hd95_px,source_mean,9.749667828089677,2
10,random,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.885168420685812,3
10,random,mean_hidden_hd95_px,oa_hb_tpm_map,9.885685643991296,4
10,random,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.886565983383393,5
10,random,mean_hidden_hd95_px,target_only,9.918839334027316,6
10,random,area_curve_relative_rmse,hb_tpm_latent_mse,0.5448501437895169,1
10,random,area_curve_relative_rmse,source_mean,0.5904207054710466,2
10,random,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6023803050034104,3
10,random,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6025211118712718,4
10,random,area_curve_relative_rmse,oa_hb_tpm_map,0.6025311474654093,5
10,random,area_curve_relative_rmse,target_only,0.6092071459854872,6
10,uniform,mean_hidden_dice,hb_tpm_latent_mse,0.7541577075962426,1
10,uniform,mean_hidden_dice,source_mean,0.7484152204503464,2
10,uniform,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7462222914605349,3
10,uniform,mean_hidden_dice,oa_hb_tpm_map,0.7462180468134634,4
10,uniform,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7462167964570906,5
10,uniform,mean_hidden_dice,target_only,0.7453767873601608,6
10,uniform,mean_hidden_hd95_px,hb_tpm_latent_mse,9.248644048340571,1
10,uniform,mean_hidden_hd95_px,source_mean,9.763256343163158,2
10,uniform,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.903030998537828,3
10,uniform,mean_hidden_hd95_px,oa_hb_tpm_map,9.903726620786552,4
10,uniform,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.905149840890463,5
10,uniform,mean_hidden_hd95_px,target_only,9.935109661027575,6
10,uniform,area_curve_relative_rmse,hb_tpm_latent_mse,0.5434535829840756,1
10,uniform,area_curve_relative_rmse,source_mean,0.5904207335228411,2
10,uniform,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6023236878540298,3
10,uniform,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6024822450245839,4
10,uniform,area_curve_relative_rmse,oa_hb_tpm_map,0.6024932173507513,5
10,uniform,area_curve_relative_rmse,target_only,0.6092045612947822,6
